COD_CNAE2009,TITULO_CNAE2009,nace_final,coicop
A,"Agricultura, ganadería, silvicultura y pesca",,
1,"Agricultura, ganadería, caza y servicios relacionados con las mismas",,
11,Cultivos no perennes,110,1
111,"Cultivo de cereales (excepto arroz), leguminosas y semillas oleaginosas",111,1
112,Cultivo de arroz,112,1
113,"Cultivo de hortalizas, raíces y tubérculos",113,1
114,Cultivo de caña de azúcar,114,1
115,Cultivo de tabaco,115,2
116,Cultivo de plantas para fibras textiles,116,non-categorizable
119,Otros cultivos no perennes,119,non-categorizable
12,Cultivos perennes,120,1
121,Cultivo de la vid,121,1
122,Cultivo de frutos tropicales y subtropicales,122,1
123,Cultivo de cítricos,123,1
124,Cultivo de frutos con hueso y pepitas,124,1
125,Cultivo de otros árboles y arbustos frutales y frutos secos,125,1
126,Cultivo de frutos oleaginosos,126,1
127,Cultivo de plantas para bebidas,127,1
128,"Cultivo de especias, plantas aromáticas, medicinales y farmacéuticas",128,1
129,Otros cultivos perennes,129,1
13,Propagación de plantas,,
130,Propagación de plantas,130,1
14,Producción ganadera,140,1
141,Explotación de ganado bovino para la producción de leche,141,1
142,Explotación de otro ganado bovino y búfalos,142,1
143,Explotación de caballos y otros equinos,143,1
144,Explotación de camellos y otros camélidos,144,1
145,Explotación de ganado ovino y caprino,145,1
146,Explotación de ganado porcino,146,1
147,Avicultura,147,1
149,Otras explotaciones de ganado,149,1
15,Producción agrícola combinada con la producción ganadera,,
150,Producción agrícola combinada con la producción ganadera,150,1
16,"Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha",160,1
161,Actividades de apoyo a la agricultura,161,1
162,Actividades de apoyo a la ganadería,162,1
163,Actividades de preparación posterior a la cosecha,163,1
164,Tratamiento de semillas para reproducción,164,1
17,"Caza, captura de animales y servicios relacionados con las mismas",,
170,"Caza, captura de animales y servicios relacionados con las mismas",170,1
2,Silvicultura y explotación forestal,,
21,Silvicultura y otras actividades forestales,,
210,Silvicultura y otras actividades forestales,210,non-categorizable
22,Explotación de la madera,,
220,Explotación de la madera,220,non-categorizable
23,"Recolección de productos silvestres, excepto madera",,
230,"Recolección de productos silvestres, excepto madera",230,non-categorizable
24,Servicios de apoyo a la silvicultura,,
240,Servicios de apoyo a la silvicultura,240,non-categorizable
3,Pesca y acuicultura,,
31,Pesca,,
311,Pesca marina,311,1
312,Pesca en agua dulce,312,1
32,Acuicultura,,
321,Acuicultura marina,321,1
322,Acuicultura en agua dulce,322,1
B,Industrias extractivas,,
5,"Extracción de antracita, hulla y lignito",,
51,Extracción de antracita y hulla,,
